person_id,persona_id,persona,source
0044f00a-801d-4ea2-a3fd-b4b71a2f6f4e,1,Young Women in their 20s,build
005ae6ca-15fe-4382-afb2-e9e3d9dcc3ce,3,Budget Conscious Local Adults,build
0082430e-4a84-48f4-a3b5-cc4443296761,0,Suburban Women in their 30s,build
0087bd83-74c7-4f57-90b7-757c744d7eee,0,Suburban Women in their 30s,build
008ff415-20d4-4b1b-8455-cfe43b52d6c0,2,Suburban Men in their 40s,build
009b9ca9-674b-45fb-8265-33c4720b58cc,0,Suburban Women in their 30s,build
00ac65a4-bed2-4bf6-a6ae-434ba8d25a5d,0,Suburban Women in their 30s,build
00bf5e13-ed13-4815-9f59-6362aaa2efcd,1,Young Women in their 20s,build
00d5aec2-70ae-44b6-8ecf-131197b314bc,1,Young Women in their 20s,build
00db3609-b8b2-4ae4-bb96-e66d9cef0afb,0,Suburban Women in their 30s,build
00e77944-0a39-4ae7-ac98-2d1a90f3769e,3,Budget Conscious Local Adults,build
010ed805-eef4-4e5a-abd8-06598babb269,3,Budget Conscious Local Adults,build
011ef144-d2b1-4739-ace2-1ab1f640bf48,0,Suburban Women in their 30s,build
0121b238-4b61-41a8-ad6e-f4e35e9410fb,5,Active Young Adults,build
013504c7-512a-4848-b3ae-44b5ab236fa5,2,Suburban Men in their 40s,build
013feed5-8158-4478-aa48-00cc5b6a6001,7,Young Men in Bright Casuals,build
016784c2-d4f4-44df-b563-382a1f132210,2,Suburban Men in their 40s,build
0174df38-1b50-4727-9508-2710ca179a7c,1,Young Women in their 20s,build
019b307f-e1c3-4fcb-859c-df3a5f5e293a,3,Budget Conscious Local Adults,build
019cc956-1afa-4c88-99bd-11feff85c5c0,3,Budget Conscious Local Adults,build
019f27b4-d82c-4caa-ad04-605119431b41,6,Retirees Aged 60 and Over,build
01a7b77a-3818-414d-af75-7782a3245a45,2,Suburban Men in their 40s,build
01b15e45-6da3-4cd9-a449-7fd886ea8c1c,3,Budget Conscious Local Adults,build
01b858d9-b704-4563-9b99-2e9a2150edc5,7,Young Men in Bright Casuals,build
