receipt_no,person_id,confidence,dep_gap_s,n_candidates,has_features,workstation
20,b4c3c7ab-adea-48cc-9527-ba664620c572,0.000,954.2,3,1,2
21,647327d6-5840-48ae-8221-a49718950c2c,0.975,5.9,3,0,2
25,00432294-2be8-4d30-89ee-10eba9bd91ec,0.182,9.8,7,0,2
27,b48093e3-4ae4-41ab-aeef-8b0aaab2e02f,0.325,12.3,4,1,2
30,cee8b3c5-af6f-4442-9373-1d36b0d45763,0.335,14.5,5,1,2
31,74cb9ca8-34a5-488e-9f5c-659964b5d8ea,0.566,3.0,3,1,2
35,fca127c6-fcba-464b-9fc4-9506ce0e21dd,0.173,194.0,4,0,2
36,8774e993-4ff2-44ea-985d-c7f5a4c1052b,0.328,5.9,5,0,2
37,4ce9c285-92b2-487e-8133-73a07c47e393,0.276,1.7,4,1,2
38,b31dbb40-02b6-4c72-b2c1-725bee18c49a,0.824,10.2,2,1,2
39,7cb5c5aa-344d-4259-a8e6-312d1e2925e8,0.312,17.7,5,0,2
40,d5cf4580-6408-48ce-9ac6-7b0c93c387ff,0.379,4.2,3,0,2
43,b9c6b236-102c-4bf1-a35c-ab176b529040,0.202,6.7,7,1,2
44,946a2515-4e4a-480c-b669-2cfe5bd609c8,0.262,1.6,7,1,2
45,60155bab-ecc4-4cbe-a45e-d5caa0f148ce,0.223,59.6,4,0,2
46,491f5920-9f5c-4816-a829-8d44a1f40786,0.279,11.9,4,0,2
51,b8eb076f-5351-4765-9944-7bd45108f515,0.374,100.2,3,1,2
52,504558bc-367d-4e0f-abbb-88df8ae000f8,0.402,9.0,4,1,2
53,9be63da2-3518-4cd7-b436-eb4a1ba570f7,0.315,2.4,4,1,2
54,77a0bea1-0705-4a14-98f6-d0b7668774f2,0.519,18.3,2,1,2
57,28fd78e2-be51-4181-879a-1222e4204504,0.522,55.8,3,1,2
58,43db3ff9-40e5-4155-8fae-cdad764a3b7f,0.155,1.4,7,0,2
59,2f06c1e2-f955-488d-9f98-6197db99e7f5,0.821,28.8,3,0,2
62,5f324879-c5b3-42bf-a544-55ef85b999df,0.164,183.7,4,0,2
63,adc7c847-69de-4d35-a226-ff54c2480793,0.473,6.0,5,1,2
64,85321c11-cb3c-4b03-b177-9d9bb0853de8,0.182,3.9,6,1,2
67,d2f91884-c44b-483c-8342-7ca43e2ece9e,0.693,3.4,2,0,2
70,ffcd3842-6017-4cc5-b987-d28bd9c05d30,0.503,8.7,2,0,2
71,bdd4de78-779a-4811-b26c-6e58c5d21c34,0.310,5.2,5,1,2
72,06ffec48-d07f-48cf-bbd6-807e3c295e61,0.426,9.5,4,1,2
73,c721dcea-2023-4e63-a076-ab990ff5a52a,0.249,42.0,4,1,2
74,7578b305-ab90-4d32-b4a3-3f40a2e29ab9,0.515,7.0,2,1,2
75,805e82f0-3835-41d1-b890-cecc1a6ba2f8,0.360,6.5,7,1,2
76,b169aab4-8d69-43db-90d7-2e3025b0085c,0.335,3.0,3,1,2
77,2ab29e1c-e094-457f-8e77-e8a9e6a64dd5,0.763,19.4,2,0,2
79,47c9619e-faaf-4a83-8e43-d670a0c86f04,0.322,19.5,4,1,2
80,dccbcea0-4c08-4420-ad7d-1dff2deec806,0.240,10.1,5,1,2
81,ab5a2d25-9cc5-4a53-9386-ff91d8186e08,0.296,0.5,4,0,2
82,dc1dfb69-fb29-4ded-b859-6ce06816ebb0,1.000,127.8,1,1,2
84,d1e63911-a407-4387-ae36-9936dc001933,0.795,17.7,2,0,2
85,30c1cd33-c129-4a78-8a7e-ef420fefae4b,0.516,7.5,2,1,2
86,e7df6d6c-4218-49a1-b882-b655f048d5c4,0.516,1.7,2,1,2
87,1c954cab-15a1-4a0a-a325-6a31518760b7,0.948,6.9,2,1,2
88,2dc09262-5851-448d-a6f5-a4f89edd549d,0.400,22.4,5,0,2
89,dcf40888-68db-4cf2-9d93-2cc3c4fb7df9,0.205,11.0,7,0,2
90,21b769e9-6d13-43ba-a8ce-cf53b44fdbdf,0.500,4.7,3,1,2
91,41ea6412-8efa-4220-a27e-fc8cf7200b78,0.449,29.6,5,0,2
96,f1c38080-c5c3-4025-91ce-5cdbf171e1a5,0.466,18.2,4,1,2
97,2e349f55-54ba-4d8c-adb0-22baece67c75,0.861,7.2,4,0,2
99,873312ae-8abc-4c4a-8a7a-e132a1be24df,1.000,120.0,2,1,2
100,499d5947-0303-4c4d-a3ce-a5f4be4bf3fd,0.321,16.9,9,0,2
